
10 3.26e-07
1010 7.89e-07
2010 4.73e-07
3010 4.1e-07
4010 5.8e-07
5010 5.7e-07
6010 6.6e-07
7010 4.08e-07
8010 5.4e-07
9010 1.164e-06
10010 2.168e-06
11010 6.98e-07
12010 1.258e-06
13010 7.5e-07
14010 1.78e-06
15010 1.268e-06
16010 1.302e-06
17010 1.291e-06
18010 7.71e-07
19010 1.257e-06
20010 9.14e-07
21010 1.76e-06
22010 1.503e-06
23010 1.213e-06
24010 1.398e-06
25010 1.446e-06
26010 1.361e-06
27010 1.23e-06
28010 1.315e-06
29010 1.361e-06
30010 1.529e-06
31010 1.363e-06
32010 1.585e-06
33010 1.472e-06
34010 1.302e-06
35010 1.397e-06
36010 1.579e-06
37010 1.353e-06
38010 1.675e-06
39010 1.539e-06
40010 1.467e-06
41010 1.78e-06
42010 1.49e-06
43010 2.093e-06
44010 1.925e-06
45010 1.557e-06
46010 1.689e-06
47010 1.91e-06
48010 1.33e-06
49010 1.234e-06
50010 1.685e-06
51010 3.012e-06
52010 2.451e-06
53010 1.508e-06
54010 1.693e-06
55010 1.735e-06
56010 1.659e-06
57010 1.358e-06
58010 1.893e-06
59010 1.445e-06
60010 1.552e-06
61010 1.834e-06
62010 1.683e-06
63010 2.176e-06
64010 1.582e-06
65010 1.828e-06
66010 1.556e-06
67010 1.336e-06
68010 1.544e-06
69010 2.173e-06
70010 2.564e-06
71010 1.619e-06
72010 1.69e-06
73010 1.152e-06
74010 1.922e-06
75010 1.574e-06
76010 1.496e-06
77010 1.831e-06
78010 2.52e-06
79010 1.607e-06
80010 1.95e-06
81010 1.652e-06
82010 1.71e-06
83010 1.441e-06
84010 1.577e-06
85010 1.919e-06
86010 1.44e-06
87010 1.847e-06
88010 2.694e-06
89010 2.506e-06
90010 1.049e-06
91010 1.727e-06
92010 1.371e-06
93010 1.516e-06
94010 1.859e-06
95010 1.496e-06
96010 1.05e-06
97010 1.282e-06
98010 1.617e-06
99010 1.372e-06
